Hospital Name,State,County,Year,Bladder,Brain,Breast,Colon,Esophagus,Liver,Lung,Pancreas,Prostate,Rectum,Stomach,Total Surgeries for All Cancer Types,National Cancer Institute Designation?
Hi-Desert Medical Center,CA,San Bernardino,2014,0,0,0,4,0,0,0,0,0,1,0,5,No
Hi-Desert Medical Center,CA,San Bernardino,2015,0,0,2,2,0,0,0,0,0,0,0,4,No
Hi-Desert Medical Center,CA,San Bernardino,2017,0,0,0,1,0,0,0,0,0,0,0,1,No
Highland Hospital,CA,Alameda,2013,0,1,34,22,2,0,12,1,8,6,3,89,No
Highland Hospital,CA,Alameda,2014,0,8,44,20,1,1,5,2,7,4,1,93,No
Highland Hospital,CA,Alameda,2015,0,3,42,13,1,1,4,2,9,3,2,80,No
Highland Hospital,CA,Alameda,2016,2,0,53,13,3,1,7,0,16,16,2,113,No
Highland Hospital,CA,Alameda,2017,1,0,38,12,2,0,7,2,20,8,2,92,No
Hoag Memorial Hospital Presbyterian,CA,Orange,2013,11,85,604,90,8,17,64,20,171,19,13,1102,No
Hoag Memorial Hospital Presbyterian,CA,Orange,2014,5,72,559,95,12,17,69,27,160,29,6,1051,No
Hoag Memorial Hospital Presbyterian,CA,Orange,2015,9,58,428,80,7,15,73,18,133,18,7,846,No
Hoag Memorial Hospital Presbyterian,CA,Orange,2016,14,85,618,93,15,22,64,20,158,44,6,1139,No
Hoag Memorial Hospital Presbyterian,CA,Orange,2017,11,91,625,111,13,24,91,28,186,46,8,1234,No
Hollywood Presbyterian Medical Center,CA,Los Angeles,2013,0,1,64,22,0,0,1,0,0,6,6,100,No
Hollywood Presbyterian Medical Center,CA,Los Angeles,2014,0,3,48,21,1,1,4,1,0,5,13,97,No
Hollywood Presbyterian Medical Center,CA,Los Angeles,2015,0,6,48,23,0,0,3,0,0,4,17,101,No
Hollywood Presbyterian Medical Center,CA,Los Angeles,2016,0,5,63,30,0,1,8,0,7,9,17,140,No
Hollywood Presbyterian Medical Center,CA,Los Angeles,2017,0,2,45,34,0,2,2,1,2,6,15,109,No
Huntington Beach Hospital,CA,Orange,2013,0,0,0,2,0,0,0,0,0,1,1,4,No
Huntington Beach Hospital,CA,Orange,2014,0,0,0,2,0,0,0,0,0,0,0,2,No
Huntington Beach Hospital,CA,Orange,2015,0,0,0,2,0,0,1,0,0,0,0,3,No
Huntington Beach Hospital,CA,Orange,2016,0,0,0,1,0,0,0,0,1,0,0,2,No
Huntington Beach Hospital,CA,Orange,2017,0,0,0,2,0,0,0,0,0,0,0,2,No
Huntington Memorial Hospital,CA,Los Angeles,2013,6,27,145,61,1,8,25,16,122,18,12,441,No
Huntington Memorial Hospital,CA,Los Angeles,2014,8,19,99,69,5,17,32,13,142,31,21,456,No
Huntington Memorial Hospital,CA,Los Angeles,2015,11,12,80,36,4,8,16,11,109,14,13,314,No
Huntington Memorial Hospital,CA,Los Angeles,2016,15,25,134,81,4,32,37,20,194,41,16,599,No
Huntington Memorial Hospital,CA,Los Angeles,2017,21,23,124,81,6,24,39,17,167,35,18,555,No
John F. Kennedy Memorial Hospital,CA,Riverside,2013,0,0,10,10,1,0,0,0,0,1,0,22,No
John F. Kennedy Memorial Hospital,CA,Riverside,2014,0,0,27,8,0,0,1,0,0,1,0,37,No
John F. Kennedy Memorial Hospital,CA,Riverside,2015,0,0,19,6,0,0,1,0,0,1,0,27,No
John F. Kennedy Memorial Hospital,CA,Riverside,2016,0,0,23,5,0,1,1,0,0,1,0,31,No
John F. Kennedy Memorial Hospital,CA,Riverside,2017,0,0,21,7,0,0,0,0,0,1,0,29,No
John Muir Medical Center – Concord Campus,CA,Contra Costa,2013,0,0,68,30,6,0,28,0,54,21,3,210,No
John Muir Medical Center – Concord Campus,CA,Contra Costa,2014,2,0,40,32,4,0,27,0,46,24,1,176,No
John Muir Medical Center – Concord Campus,CA,Contra Costa,2015,1,0,24,24,2,0,26,1,27,18,5,128,No
John Muir Medical Center – Concord Campus,CA,Contra Costa,2016,4,0,30,45,3,0,27,1,45,21,2,178,No
John Muir Medical Center – Concord Campus,CA,Contra Costa,2017,4,0,33,43,12,0,26,0,64,33,3,218,No
John Muir Medical Center – Walnut Creek Campus,CA,Contra Costa,2013,2,37,107,32,0,5,36,2,2,0,1,224,No
John Muir Medical Center – Walnut Creek Campus,CA,Contra Costa,2014,0,30,104,45,0,6,19,4,0,1,2,211,No
John Muir Medical Center – Walnut Creek Campus,CA,Contra Costa,2015,0,26,64,29,0,2,27,0,2,4,1,155,No
John Muir Medical Center – Walnut Creek Campus,CA,Contra Costa,2016,2,45,105,37,0,8,24,2,1,8,2,234,No
John Muir Medical Center – Walnut Creek Campus,CA,Contra Costa,2017,3,33,105,37,0,6,24,0,4,6,4,222,No
Kaiser Foundation Hospital – Antioch,CA,Contra Costa,2013,2,0,104,42,0,31,0,10,1,6,12,208,No
Kaiser Foundation Hospital – Antioch,CA,Contra Costa,2014,4,0,118,31,0,45,0,17,1,10,4,230,No
Kaiser Foundation Hospital – Antioch,CA,Contra Costa,2015,2,0,73,14,0,12,0,6,0,6,4,117,No
Kaiser Foundation Hospital – Antioch,CA,Contra Costa,2016,4,0,102,28,0,15,0,9,2,7,1,168,No
Kaiser Foundation Hospital – Antioch,CA,Contra Costa,2017,4,0,110,21,0,4,0,2,6,7,1,155,No
Kaiser Foundation Hospital – Baldwin Park,CA,Los Angeles,2013,3,0,262,68,0,1,0,1,4,9,4,352,No
Kaiser Foundation Hospital – Baldwin Park,CA,Los Angeles,2014,4,0,237,68,0,0,0,0,2,17,7,335,No
Kaiser Foundation Hospital – Baldwin Park,CA,Los Angeles,2015,2,0,200,47,0,0,0,0,2,3,1,255,No
Kaiser Foundation Hospital – Baldwin Park,CA,Los Angeles,2016,4,0,266,44,0,1,0,0,4,28,4,351,No
Kaiser Foundation Hospital – Baldwin Park,CA,Los Angeles,2017,6,0,319,48,0,1,0,2,2,21,5,404,No
Kaiser Foundation Hospital – Downey,CA,Los Angeles,2013,3,0,231,41,2,0,34,3,252,13,12,591,No
Kaiser Foundation Hospital – Downey,CA,Los Angeles,2014,2,0,245,63,2,0,19,3,195,4,4,537,No
Kaiser Foundation Hospital – Downey,CA,Los Angeles,2015,0,0,183,50,0,0,18,3,215,1,8,478,No
Kaiser Foundation Hospital – Downey,CA,Los Angeles,2016,7,0,276,57,2,0,20,8,256,9,11,646,No
Kaiser Foundation Hospital – Downey,CA,Los Angeles,2017,2,0,335,45,5,0,23,20,289,12,9,740,No
Kaiser Foundation Hospital – Fontana,CA,San Bernardino,2013,8,30,414,105,10,3,51,2,26,22,8,679,No
Kaiser Foundation Hospital – Fontana,CA,San Bernardino,2014,13,40,440,92,8,2,44,4,133,27,7,810,No
Kaiser Foundation Hospital – Fontana,CA,San Bernardino,2015,11,18,324,70,3,0,30,2,134,24,6,622,No
Kaiser Foundation Hospital – Fontana,CA,San Bernardino,2016,13,37,491,90,13,4,47,3,188,41,16,943,No
Kaiser Foundation Hospital – Fontana,CA,San Bernardino,2017,13,39,506,94,12,4,44,2,174,50,8,946,No
Kaiser Foundation Hospital – Fremont,CA,Alameda,2014,2,0,48,15,0,0,1,0,0,4,1,71,No
Kaiser Foundation Hospital – Fremont,CA,Alameda,2015,1,0,55,19,0,0,0,0,0,4,1,80,No
Kaiser Foundation Hospital – Fremont,CA,Alameda,2016,1,0,67,30,0,0,0,0,0,9,2,109,No
Kaiser Foundation Hospital – Fremont,CA,Alameda,2017,0,0,86,38,0,0,0,1,0,8,0,133,No
Kaiser Foundation Hospital – Fresno,CA,Fresno,2013,1,6,129,33,0,0,6,0,0,2,1,178,No
Kaiser Foundation Hospital – Fresno,CA,Fresno,2014,0,3,103,28,0,0,0,0,1,2,1,138,No
Kaiser Foundation Hospital – Fresno,CA,Fresno,2015,0,3,64,26,0,0,0,0,0,0,0,93,No
Kaiser Foundation Hospital – Fresno,CA,Fresno,2016,0,5,132,23,0,0,0,0,0,4,0,164,No
Kaiser Foundation Hospital – Fresno,CA,Fresno,2017,0,5,132,24,0,0,0,0,1,1,3,166,No
Kaiser Foundation Hospital – Hayward,CA,Alameda,2013,9,0,194,43,1,10,21,6,2,19,7,312,No
Kaiser Foundation Hospital – Hayward,CA,Alameda,2014,4,0,101,26,0,4,7,1,2,6,5,156,No
Kaiser Foundation Hospital – Manteca,CA,San Joaquin,2013,5,0,184,40,2,0,33,0,27,13,2,306,No
Kaiser Foundation Hospital – Manteca,CA,San Joaquin,2014,3,0,159,49,6,0,51,0,2,21,4,295,No
Kaiser Foundation Hospital – Manteca,CA,San Joaquin,2015,0,0,135,45,8,0,37,0,3,7,6,241,No
Kaiser Foundation Hospital – Manteca,CA,San Joaquin,2016,3,0,163,63,11,0,34,0,2,24,2,302,No
Kaiser Foundation Hospital – Manteca,CA,San Joaquin,2017,6,0,229,66,7,1,36,2,4,26,2,379,No
Kaiser Foundation Hospital – Moreno Valley,CA,Riverside,2013,0,0,33,6,0,0,0,0,0,0,0,39,No
Kaiser Foundation Hospital – Moreno Valley,CA,Riverside,2014,0,0,19,9,0,0,0,0,0,0,0,28,No
Kaiser Foundation Hospital – Moreno Valley,CA,Riverside,2015,0,0,38,7,0,0,0,0,0,0,0,45,No
Kaiser Foundation Hospital – Moreno Valley,CA,Riverside,2016,0,0,62,11,0,0,0,0,0,0,1,74,No
Kaiser Foundation Hospital – Moreno Valley,CA,Riverside,2017,0,0,43,16,0,0,0,0,0,3,1,63,No
Kaiser Foundation Hospital – Oakland Campus,CA,Alameda,2013,21,0,293,74,14,13,46,12,59,24,14,570,No
Kaiser Foundation Hospital – Oakland Campus,CA,Alameda,2014,13,0,159,35,10,10,20,11,15,13,10,296,No
Kaiser Foundation Hospital – Oakland/Richmond,CA,Alameda,2014,9,0,126,39,12,13,36,11,21,18,5,290,No
Kaiser Foundation Hospital – Oakland/Richmond,CA,Alameda,2015,13,0,232,58,12,33,54,13,26,29,9,479,No
Kaiser Foundation Hospital – Oakland/Richmond,CA,Alameda,2016,17,0,326,70,14,54,97,32,40,37,7,694,No
Kaiser Foundation Hospital – Oakland/Richmond,CA,Alameda,2017,22,0,290,67,28,51,97,43,34,28,6,666,No
Kaiser Foundation Hospital – Orange County – Anaheim,CA,Orange,2013,11,30,380,65,5,5,28,7,13,28,6,578,No
Kaiser Foundation Hospital – Orange County – Anaheim,CA,Orange,2014,7,27,435,68,5,8,39,9,19,22,19,658,No
Kaiser Foundation Hospital – Orange County – Anaheim,CA,Orange,2015,13,24,322,80,4,7,33,8,1,26,8,526,No
Kaiser Foundation Hospital – Orange County – Anaheim,CA,Orange,2016,22,27,460,68,6,12,28,13,1,34,8,679,No
Kaiser Foundation Hospital – Orange County – Anaheim,CA,Orange,2017,17,22,535,90,6,10,36,11,3,37,3,770,No
Kaiser Foundation Hospital – Panorama City,CA,Los Angeles,2013,3,0,167,49,4,3,65,5,0,4,10,310,No
Kaiser Foundation Hospital – Panorama City,CA,Los Angeles,2014,1,0,162,37,2,2,47,10,2,6,17,286,No
Kaiser Foundation Hospital – Panorama City,CA,Los Angeles,2015,4,0,108,38,1,1,35,3,0,2,9,201,No
Kaiser Foundation Hospital – Panorama City,CA,Los Angeles,2016,0,0,191,55,7,3,46,4,2,6,7,321,No
Kaiser Foundation Hospital – Panorama City,CA,Los Angeles,2017,0,0,210,46,3,7,58,6,1,6,3,340,No
Kaiser Foundation Hospital – Redwood City,CA,San Mateo,2013,1,132,113,25,0,0,7,0,0,2,3,283,No
Kaiser Foundation Hospital – Redwood City,CA,San Mateo,2014,1,156,100,23,1,0,7,0,0,2,5,295,No
Kaiser Foundation Hospital – Redwood City,CA,San Mateo,2014,0,3,0,1,0,0,0,0,0,0,0,4,No
Kaiser Foundation Hospital – Redwood City,CA,San Mateo,2015,4,118,77,19,0,0,5,0,0,1,0,224,No
Kaiser Foundation Hospital – Redwood City,CA,San Mateo,2016,7,156,93,17,0,1,0,0,1,1,0,276,No
Kaiser Foundation Hospital – Redwood City,CA,San Mateo,2017,3,140,93,27,0,0,0,0,0,0,0,263,No
Kaiser Foundation Hospital – Rehabilitation Center Vallejo,CA,Solano,2013,6,0,183,32,4,0,24,0,1,16,1,267,No
Kaiser Foundation Hospital – Rehabilitation Center Vallejo,CA,Solano,2014,1,0,166,45,12,0,27,0,0,16,2,269,No
Kaiser Foundation Hospital – Rehabilitation Center Vallejo,CA,Solano,2015,2,0,136,17,1,0,6,0,1,12,2,177,No
Kaiser Foundation Hospital – Rehabilitation Center Vallejo,CA,Solano,2016,3,0,241,39,5,1,14,0,1,19,1,324,No
Kaiser Foundation Hospital – Rehabilitation Center Vallejo,CA,Solano,2017,3,0,272,41,3,0,18,0,1,20,0,358,No
Kaiser Foundation Hospital – Riverside,CA,Riverside,2013,5,0,172,46,6,9,15,2,1,22,8,286,No
Kaiser Foundation Hospital – Riverside,CA,Riverside,2014,2,0,181,56,6,6,27,5,2,16,4,305,No
Kaiser Foundation Hospital – Riverside,CA,Riverside,2015,1,0,159,38,2,5,20,5,0,12,2,244,No
Kaiser Foundation Hospital – Riverside,CA,Riverside,2016,4,0,280,53,3,10,23,7,2,25,5,412,No
Kaiser Foundation Hospital – Riverside,CA,Riverside,2017,5,0,244,64,7,7,21,9,2,26,4,389,No
Kaiser Foundation Hospital – Roseville,CA,Placer,2013,9,0,370,69,9,1,29,0,17,15,3,522,No
Kaiser Foundation Hospital – Roseville,CA,Placer,2014,5,0,333,57,7,1,42,0,3,20,3,471,No
Kaiser Foundation Hospital – Roseville,CA,Placer,2015,4,0,229,56,0,0,1,0,3,17,0,310,No
Kaiser Foundation Hospital – Roseville,CA,Placer,2016,5,0,362,66,0,1,1,1,4,23,1,464,No
Kaiser Foundation Hospital – Roseville,CA,Placer,2017,7,0,456,69,0,1,0,1,2,29,0,565,No
Kaiser Foundation Hospital – Sacramento,CA,Sacramento,2013,1,86,209,44,2,9,17,15,3,8,7,401,No
Kaiser Foundation Hospital – Sacramento,CA,Sacramento,2014,6,67,180,51,0,10,20,5,0,8,7,354,No
Kaiser Foundation Hospital – Sacramento,CA,Sacramento,2015,2,46,164,43,0,14,0,12,0,8,7,296,No
Kaiser Foundation Hospital – Sacramento,CA,Sacramento,2016,0,72,260,56,0,24,1,11,0,17,11,452,No
Kaiser Foundation Hospital – Sacramento,CA,Sacramento,2017,1,72,249,57,0,29,0,26,0,17,17,468,No
Kaiser Foundation Hospital – San Diego,CA,San Diego,2013,6,27,464,81,2,6,48,9,7,15,9,674,No
Kaiser Foundation Hospital – San Diego,CA,San Diego,2014,3,25,514,67,6,12,61,6,2,5,11,712,No
Kaiser Foundation Hospital – San Diego,CA,San Diego,2015,3,23,423,49,13,13,32,4,5,5,9,579,No
Kaiser Foundation Hospital – San Diego,CA,San Diego,2016,5,16,518,80,7,14,54,14,3,9,6,726,No
Kaiser Foundation Hospital – San Diego,CA,San Diego,2017,7,29,501,88,6,15,68,9,44,33,5,805,No
Kaiser Foundation Hospital – San Francisco,CA,San Francisco,2013,4,0,168,38,5,31,32,21,6,22,5,332,No
Kaiser Foundation Hospital – San Francisco,CA,San Francisco,2014,4,0,177,36,4,33,40,31,30,30,6,391,No
Kaiser Foundation Hospital – San Francisco,CA,San Francisco,2015,1,0,134,26,0,25,4,14,49,24,5,282,No
Kaiser Foundation Hospital – San Francisco,CA,San Francisco,2016,7,0,166,50,0,36,0,25,62,46,6,398,No
Kaiser Foundation Hospital – San Francisco,CA,San Francisco,2017,6,0,198,40,0,27,0,26,59,47,0,403,No
Kaiser Foundation Hospital – San Jose,CA,Santa Clara,2013,6,0,173,36,0,10,0,4,19,6,4,258,No
Kaiser Foundation Hospital – San Jose,CA,Santa Clara,2014,9,0,164,47,0,7,0,8,5,19,5,264,No
Kaiser Foundation Hospital – San Jose,CA,Santa Clara,2015,1,0,119,28,0,12,0,9,0,20,2,191,No
Kaiser Foundation Hospital – San Jose,CA,Santa Clara,2016,6,0,197,41,0,15,0,7,2,9,1,278,No
Kaiser Foundation Hospital – San Jose,CA,Santa Clara,2017,4,0,185,60,0,12,0,10,1,12,0,284,No
Kaiser Foundation Hospital – San Leandro,CA,Alameda,2014,3,0,57,22,0,3,7,4,1,2,2,101,No
Kaiser Foundation Hospital – San Leandro,CA,Alameda,2015,0,0,46,23,0,0,2,0,0,5,1,77,No
Kaiser Foundation Hospital – San Leandro,CA,Alameda,2016,1,0,68,19,0,1,0,1,0,11,6,107,No
Kaiser Foundation Hospital – San Leandro,CA,Alameda,2017,0,0,107,27,0,1,0,0,0,7,0,142,No
Kaiser Foundation Hospital – San Rafael,CA,Marin,2013,3,0,144,32,0,0,0,0,1,0,0,180,No
Kaiser Foundation Hospital – San Rafael,CA,Marin,2014,2,0,157,41,0,0,0,0,0,0,0,200,No
Kaiser Foundation Hospital – San Rafael,CA,Marin,2015,1,0,92,30,0,0,0,0,0,1,0,124,No
Kaiser Foundation Hospital – San Rafael,CA,Marin,2016,5,0,148,36,0,0,0,0,2,1,1,193,No
Kaiser Foundation Hospital – San Rafael,CA,Marin,2017,2,0,143,30,0,0,0,0,7,1,0,183,No
Kaiser Foundation Hospital – Santa Clara,CA,Santa Clara,2013,11,0,362,68,2,7,42,3,209,8,24,736,No
Kaiser Foundation Hospital – Santa Clara,CA,Santa Clara,2014,15,0,307,77,6,1,56,1,107,7,14,591,No
Kaiser Foundation Hospital – Santa Clara,CA,Santa Clara,2015,10,0,291,37,4,1,34,1,77,3,11,469,No
Kaiser Foundation Hospital – Santa Clara,CA,Santa Clara,2016,12,0,357,54,2,0,56,0,98,18,3,600,No
Kaiser Foundation Hospital – Santa Clara,CA,Santa Clara,2017,11,0,359,67,8,3,50,1,110,21,1,631,No
Kaiser Foundation Hospital – Santa Rosa,CA,Sonoma,2013,1,0,221,39,0,0,3,0,0,6,0,270,No
Kaiser Foundation Hospital – Santa Rosa,CA,Sonoma,2014,2,0,208,34,0,0,0,0,0,3,0,247,No
Kaiser Foundation Hospital – Santa Rosa,CA,Sonoma,2015,5,0,149,22,0,0,0,0,0,0,0,176,No
Kaiser Foundation Hospital – Santa Rosa,CA,Sonoma,2016,4,0,161,30,0,0,0,0,0,2,1,198,No
Kaiser Foundation Hospital – Santa Rosa,CA,Sonoma,2017,5,0,146,30,0,1,0,0,2,3,1,188,No
Kaiser Foundation Hospital – South Bay,CA,Los Angeles,2013,1,0,236,41,0,5,0,10,10,6,12,321,No
Kaiser Foundation Hospital – South Bay,CA,Los Angeles,2014,0,0,267,48,1,3,0,6,5,7,9,346,No
Kaiser Foundation Hospital – South Bay,CA,Los Angeles,2015,7,0,176,37,4,0,0,3,0,8,8,243,No
Kaiser Foundation Hospital – South Bay,CA,Los Angeles,2016,4,0,284,46,4,2,0,15,0,13,11,379,No
Kaiser Foundation Hospital – South Bay,CA,Los Angeles,2017,2,0,295,48,2,4,0,8,2,18,8,387,No
Kaiser Foundation Hospital – South Sacramento,CA,Sacramento,2013,21,0,242,50,1,9,22,2,226,18,6,597,No
Kaiser Foundation Hospital – South Sacramento,CA,Sacramento,2014,19,0,227,52,3,10,21,0,136,21,4,493,No
Kaiser Foundation Hospital – South Sacramento,CA,Sacramento,2015,19,0,185,35,13,5,64,0,109,13,7,450,No
Kaiser Foundation Hospital – South Sacramento,CA,Sacramento,2016,26,0,240,46,8,0,71,0,168,25,4,588,No
Kaiser Foundation Hospital – South Sacramento,CA,Sacramento,2017,41,0,247,52,9,1,77,0,235,24,2,688,No
Kaiser Foundation Hospital – South San Francisco,CA,San Mateo,2013,2,0,130,25,2,0,15,7,0,7,3,191,No
Kaiser Foundation Hospital – South San Francisco,CA,San Mateo,2014,3,0,100,34,0,1,18,4,0,5,6,171,No
Kaiser Foundation Hospital – South San Francisco,CA,San Mateo,2015,0,0,98,22,0,4,9,1,0,4,8,146,No
Kaiser Foundation Hospital – South San Francisco,CA,San Mateo,2016,1,0,126,23,0,0,1,0,0,7,29,187,No
Kaiser Foundation Hospital – South San Francisco,CA,San Mateo,2017,2,0,144,33,2,0,0,0,0,13,36,230,No
Kaiser Foundation Hospital – Sunset,CA,Los Angeles,2013,25,44,238,50,1,68,48,23,72,27,12,608,No
Kaiser Foundation Hospital – Sunset,CA,Los Angeles,2014,20,50,226,48,9,83,42,16,52,26,16,588,No
Kaiser Foundation Hospital – Sunset,CA,Los Angeles,2015,14,58,192,41,9,58,29,13,41,21,14,490,No
Kaiser Foundation Hospital – Sunset,CA,Los Angeles,2016,31,73,240,49,9,86,39,18,68,55,14,682,No
Kaiser Foundation Hospital – Sunset,CA,Los Angeles,2017,29,73,278,57,8,89,46,19,77,43,21,740,No
Kaiser Foundation Hospital – Vacaville,CA,Solano,2013,2,1,47,19,0,0,0,0,4,1,0,74,No
Kaiser Foundation Hospital – Vacaville,CA,Solano,2014,7,10,49,15,0,0,0,0,1,0,0,82,No
Kaiser Foundation Hospital – Vacaville,CA,Solano,2015,3,11,35,15,4,0,15,0,0,0,0,83,No
Kaiser Foundation Hospital – Vacaville,CA,Solano,2016,3,15,2,13,0,0,0,0,2,2,1,38,No
Kaiser Foundation Hospital – Vacaville,CA,Solano,2017,4,17,0,17,0,1,0,0,1,0,0,40,No
Kaiser Foundation Hospital – Walnut Creek,CA,Contra Costa,2013,4,0,375,78,5,1,46,1,11,26,3,550,No
Kaiser Foundation Hospital – Walnut Creek,CA,Contra Costa,2014,14,0,339,68,1,0,25,0,14,23,0,484,No
Kaiser Foundation Hospital – Walnut Creek,CA,Contra Costa,2015,8,0,257,54,0,0,0,0,11,18,2,350,No
Kaiser Foundation Hospital – Walnut Creek,CA,Contra Costa,2016,11,0,310,73,0,2,0,1,10,33,0,440,No
Kaiser Foundation Hospital – Walnut Creek,CA,Contra Costa,2017,9,0,317,69,0,3,0,0,9,29,0,436,No
Kaiser Foundation Hospital – West Los Angeles,CA,Los Angeles,2013,5,0,179,59,0,7,3,10,342,10,9,624,No
Kaiser Foundation Hospital – West Los Angeles,CA,Los Angeles,2014,1,0,196,39,0,6,8,6,239,9,12,516,No
Kaiser Foundation Hospital – West Los Angeles,CA,Los Angeles,2015,0,0,164,41,1,4,28,7,171,9,2,427,No
Kaiser Foundation Hospital – West Los Angeles,CA,Los Angeles,2016,3,0,271,38,1,7,26,7,253,24,6,636,No
Kaiser Foundation Hospital – West Los Angeles,CA,Los Angeles,2017,7,0,265,39,3,9,34,12,236,29,4,638,No
Kaiser Foundation Hospital – Woodland Hills,CA,Los Angeles,2013,4,0,237,39,0,3,0,0,5,14,2,304,No
Kaiser Foundation Hospital – Woodland Hills,CA,Los Angeles,2014,9,0,233,41,0,4,0,2,9,15,7,320,No
Kaiser Foundation Hospital – Woodland Hills,CA,Los Angeles,2015,7,0,196,30,0,2,0,2,4,10,1,252,No
Kaiser Foundation Hospital – Woodland Hills,CA,Los Angeles,2016,9,0,232,50,0,3,0,0,8,17,1,320,No
Kaiser Foundation Hospital – Woodland Hills,CA,Los Angeles,2017,3,0,300,40,0,3,0,0,8,21,3,378,No
Kaweah Delta Medical Center,CA,Tulare,2013,3,0,137,33,1,0,12,0,25,11,1,223,No
Kaweah Delta Medical Center,CA,Tulare,2014,2,0,99,53,1,0,9,0,33,11,3,211,No
Kaweah Delta Medical Center,CA,Tulare,2015,4,4,85,17,0,0,5,0,21,9,1,146,No
Kaweah Delta Medical Center,CA,Tulare,2016,3,10,138,49,1,2,7,2,26,17,5,260,No
Kaweah Delta Medical Center,CA,Tulare,2017,0,0,124,37,0,2,3,2,23,16,8,215,No
Keck Hospital of University of Southern California,CA,Los Angeles,2013,135,51,97,34,44,87,35,32,361,35,23,934,No
Keck Hospital of University of Southern California,CA,Los Angeles,2014,153,65,98,27,45,116,34,41,304,27,27,937,No
Keck Hospital of University of Southern California,CA,Los Angeles,2015,123,33,67,26,19,67,21,30,278,45,20,729,No
Keck Hospital of University of Southern California,CA,Los Angeles,2016,177,70,114,65,21,103,24,41,435,75,21,1146,No
Keck Hospital of University of Southern California,CA,Los Angeles,2017,162,67,105,57,26,95,29,48,341,75,11,1016,No
Kern Medical Center,CA,Kern,2013,0,3,31,6,0,2,1,0,0,3,4,50,No
Kern Medical Center,CA,Kern,2014,0,5,52,11,0,5,2,1,0,3,2,81,No
Kern Medical Center,CA,Kern,2015,0,2,32,5,0,3,0,2,0,2,0,46,No
Kern Medical Center,CA,Kern,2016,0,2,34,12,1,6,2,1,10,3,0,71,No
Kern Medical Center,CA,Kern,2017,1,5,43,5,2,4,2,1,12,5,1,81,No
La Palma Intercommunity Hospital,CA,Orange,2013,0,0,0,2,0,0,1,0,0,0,2,5,No
La Palma Intercommunity Hospital,CA,Orange,2014,0,0,2,4,0,0,0,0,0,0,1,7,No
La Palma Intercommunity Hospital,CA,Orange,2015,0,0,0,7,0,0,0,0,0,1,2,10,No
La Palma Intercommunity Hospital,CA,Orange,2016,0,0,0,6,0,1,0,0,0,3,0,10,No
La Palma Intercommunity Hospital,CA,Orange,2017,0,0,1,7,0,0,0,0,0,0,1,9,No
Lakewood Regional Medical Center,CA,Los Angeles,2013,0,5,20,22,1,0,5,0,2,0,6,61,No
Lakewood Regional Medical Center,CA,Los Angeles,2014,0,9,33,20,2,1,8,1,13,0,3,90,No
Lakewood Regional Medical Center,CA,Los Angeles,2015,0,1,19,13,0,0,5,0,18,1,2,59,No
Lakewood Regional Medical Center,CA,Los Angeles,2016,2,5,29,19,1,1,6,3,6,4,4,80,No
Lakewood Regional Medical Center,CA,Los Angeles,2017,0,4,20,19,2,1,7,2,5,9,8,77,No
Lodi Memorial Hospital,CA,San Joaquin,2013,3,0,29,21,0,0,4,0,17,0,1,75,No
Lodi Memorial Hospital,CA,San Joaquin,2014,2,0,33,10,0,0,1,0,9,3,0,58,No
Lodi Memorial Hospital,CA,San Joaquin,2015,1,0,22,9,0,0,2,0,4,2,1,41,No
Lodi Memorial Hospital,CA,San Joaquin,2016,4,0,28,13,0,2,0,1,25,4,1,78,No
Lodi Memorial Hospital,CA,San Joaquin,2017,2,0,18,14,0,0,0,0,27,3,0,64,No
Loma Linda University Medical Center,CA,San Bernardino,2013,29,34,137,42,3,27,29,13,88,14,4,420,No
Loma Linda University Medical Center,CA,San Bernardino,2014,24,30,143,41,5,14,28,13,72,24,7,401,No
Loma Linda University Medical Center,CA,San Bernardino,2015,21,41,100,30,3,18,23,15,63,12,5,331,No
Loma Linda University Medical Center,CA,San Bernardino,2016,33,52,152,44,9,43,33,23,105,33,7,534,No
Loma Linda University Medical Center,CA,San Bernardino,2017,24,70,187,51,6,42,31,19,119,42,10,601,No
Loma Linda University Medical Center – Murrieta,CA,Riverside,2013,0,3,66,22,0,1,7,0,0,7,2,108,No
Loma Linda University Medical Center – Murrieta,CA,Riverside,2014,0,10,83,20,0,0,17,0,1,6,2,139,No
Loma Linda University Medical Center – Murrieta,CA,Riverside,2015,0,3,52,28,0,1,17,0,7,7,0,115,No
Loma Linda University Medical Center – Murrieta,CA,Riverside,2016,1,10,84,26,0,0,8,0,12,13,2,156,No
Loma Linda University Medical Center – Murrieta,CA,Riverside,2017,0,8,78,36,0,0,3,0,5,5,1,136,No
Lompoc Valley Medical Center,CA,Santa Barbara,2013,0,0,7,10,0,0,0,0,0,1,2,20,No
Lompoc Valley Medical Center,CA,Santa Barbara,2014,0,0,11,13,0,0,0,0,0,2,0,26,No
Lompoc Valley Medical Center,CA,Santa Barbara,2015,0,0,6,11,0,0,0,0,0,1,0,18,No
Lompoc Valley Medical Center,CA,Santa Barbara,2016,0,0,3,15,0,0,0,0,0,0,1,19,No
Lompoc Valley Medical Center,CA,Santa Barbara,2017,0,0,11,11,0,1,0,0,0,3,0,26,No
Long Beach Memorial Medical Center,CA,Los Angeles,2013,1,18,221,67,1,2,36,1,16,17,3,383,No
