Hospital Name,State,County,Latitude,Longitude,Year,Total Surgeries for All Cancer Types,Bladder,Brain,Breast,Colon,Esophagus,Liver,Lung,Pancreas,Prostate,Rectum,Stomach
Good Samaritan Hospital – Bakersfield,,Kern,35.41216,-119.03913,2015,2,0,0,1,0,0,0,0,0,1,0,0
Good Samaritan Hospital – Bakersfield,,Kern,35.41216,-119.03913,2016,2,0,0,1,1,0,0,0,0,0,0,0
Good Samaritan Hospital – Bakersfield,,Kern,35.41216,-119.03913,2017,4,0,0,1,0,0,0,0,0,3,0,0
Good Samaritan Hospital – Los Angeles,,Los Angeles,34.05324,-118.26522,2013,90,0,8,32,14,0,12,5,8,1,5,5
Good Samaritan Hospital – Los Angeles,,Los Angeles,34.05324,-118.26522,2014,90,0,6,21,20,0,15,5,4,2,6,11
Good Samaritan Hospital – Los Angeles,,Los Angeles,34.05324,-118.26522,2015,60,0,6,20,18,0,6,4,4,0,0,2
Good Samaritan Hospital – Los Angeles,,Los Angeles,34.05324,-118.26522,2016,107,1,7,28,18,0,12,6,8,3,15,9
Good Samaritan Hospital – Los Angeles,,Los Angeles,34.05324,-118.26522,2017,87,0,7,26,16,0,8,6,6,2,5,11
Good Samaritan Hospital – San Jose,,Santa Clara,37.25116,-121.9449,2013,307,0,21,174,44,1,2,11,1,36,12,5
Good Samaritan Hospital – San Jose,,Santa Clara,37.25116,-121.9449,2014,289,1,20,167,45,0,3,22,1,20,8,2
Good Samaritan Hospital – San Jose,,Santa Clara,37.25116,-121.9449,2015,230,0,6,139,33,4,3,16,1,17,7,4
Good Samaritan Hospital – San Jose,,Santa Clara,37.25116,-121.9449,2016,302,1,19,177,47,1,2,27,6,3,17,2
Good Samaritan Hospital – San Jose,,Santa Clara,37.25116,-121.9449,2017,345,0,17,179,61,0,5,25,9,30,16,3
Greater El Monte Community Hospital,,Los Angeles,34.04827,-118.04257,2013,5,0,0,3,1,0,0,0,0,0,1,0
Greater El Monte Community Hospital,,Los Angeles,34.04827,-118.04257,2014,4,0,0,1,3,0,0,0,0,0,0,0
Greater El Monte Community Hospital,,Los Angeles,34.04827,-118.04257,2015,2,0,0,0,1,0,0,0,0,0,1,0
Greater El Monte Community Hospital,,Los Angeles,34.04827,-118.04257,2016,3,0,0,0,1,0,0,0,0,1,1,0
Greater El Monte Community Hospital,,Los Angeles,34.04827,-118.04257,2017,4,0,0,2,1,0,0,0,0,1,0,0
Grossmont Hospital,,San Diego,32.77963,-117.00924,2013,232,1,18,96,53,2,0,28,0,18,9,7
Grossmont Hospital,,San Diego,32.77963,-117.00924,2014,235,0,23,108,61,0,1,20,2,12,6,2
Grossmont Hospital,,San Diego,32.77963,-117.00924,2015,153,1,15,59,36,0,2,17,1,11,10,1
Grossmont Hospital,,San Diego,32.77963,-117.00924,2016,228,2,24,91,50,1,1,17,6,20,13,3
Grossmont Hospital,,San Diego,32.77963,-117.00924,2017,234,2,19,105,53,3,2,16,13,9,10,2
Hazel Hawkins Memorial Hospital,,San Benito,36.835,-121.38609,2013,13,0,0,8,4,0,0,0,0,0,1,0
Hazel Hawkins Memorial Hospital,,San Benito,36.835,-121.38609,2014,22,0,0,14,8,0,0,0,0,0,0,0
Hazel Hawkins Memorial Hospital,,San Benito,36.835,-121.38609,2015,11,0,0,6,5,0,0,0,0,0,0,0
Hazel Hawkins Memorial Hospital,,San Benito,36.835,-121.38609,2016,20,0,0,14,6,0,0,0,0,0,0,0
Hazel Hawkins Memorial Hospital,,San Benito,36.835,-121.38609,2017,15,0,0,13,1,0,0,0,0,1,0,0
Healdsburg District Hospital,,Sonoma,38.62764,-122.86385,2014,3,0,0,1,2,0,0,0,0,0,0,0
Healdsburg District Hospital,,Sonoma,38.62764,-122.86385,2015,2,0,0,0,2,0,0,0,0,0,0,0
Hemet Valley Medical Center,,Riverside,33.75113,-116.95958,2013,86,4,0,50,13,0,0,0,0,9,10,0
Hemet Valley Medical Center,,Riverside,33.75113,-116.95958,2014,96,1,0,40,27,0,0,0,0,23,4,1
Hemet Valley Medical Center,,Riverside,33.75113,-116.95958,2015,80,0,0,35,26,0,0,0,0,14,5,0
Hemet Valley Medical Center,,Riverside,33.75113,-116.95958,2016,103,1,0,46,28,0,1,0,0,23,3,1
Hemet Valley Medical Center,,Riverside,33.75113,-116.95958,2017,69,1,0,26,16,0,3,0,2,14,7,0
Henry Mayo Newhall Hospital,,Los Angeles,34.39637,-118.55324,2013,92,0,1,65,19,0,0,2,0,0,4,1
Henry Mayo Newhall Hospital,,Los Angeles,34.39637,-118.55324,2014,46,0,4,22,12,0,0,4,0,0,4,0
Henry Mayo Newhall Hospital,,Los Angeles,34.39637,-118.55324,2015,46,0,9,29,6,0,0,1,0,0,1,0
Henry Mayo Newhall Hospital,,Los Angeles,34.39637,-118.55324,2016,47,1,12,9,8,1,3,4,0,3,5,1
Henry Mayo Newhall Hospital,,Los Angeles,34.39637,-118.55324,2017,80,1,13,26,13,1,1,8,0,11,4,2
Hi-Desert Medical Center,,San Bernardino,34.13323,-116.27654,2013,9,0,0,2,7,0,0,0,0,0,0,0
Hi-Desert Medical Center,,San Bernardino,34.13323,-116.27654,2014,5,0,0,0,4,0,0,0,0,0,1,0
Hi-Desert Medical Center,,San Bernardino,34.13323,-116.27654,2015,4,0,0,2,2,0,0,0,0,0,0,0
Hi-Desert Medical Center,,San Bernardino,34.13323,-116.27654,2017,1,0,0,0,1,0,0,0,0,0,0,0
Highland Hospital,,Alameda,37.79917,-122.2312,2013,89,0,1,34,22,2,0,12,1,8,6,3
Highland Hospital,,Alameda,37.79917,-122.2312,2014,93,0,8,44,20,1,1,5,2,7,4,1
Highland Hospital,,Alameda,37.79917,-122.2312,2015,80,0,3,42,13,1,1,4,2,9,3,2
Highland Hospital,,Alameda,37.79917,-122.2312,2016,113,2,0,53,13,3,1,7,0,16,16,2
Highland Hospital,,Alameda,37.79917,-122.2312,2017,92,1,0,38,12,2,0,7,2,20,8,2
Hoag Memorial Hospital Presbyterian,,Orange,33.62526,-117.92949,2013,1102,11,85,604,90,8,17,64,20,171,19,13
Hoag Memorial Hospital Presbyterian,,Orange,33.62526,-117.92949,2014,1051,5,72,559,95,12,17,69,27,160,29,6
Hoag Memorial Hospital Presbyterian,,Orange,33.62526,-117.92949,2015,846,9,58,428,80,7,15,73,18,133,18,7
Hoag Memorial Hospital Presbyterian,,Orange,33.62526,-117.92949,2016,1139,14,85,618,93,15,22,64,20,158,44,6
Hoag Memorial Hospital Presbyterian,,Orange,33.62526,-117.92949,2017,1234,11,91,625,111,13,24,91,28,186,46,8
Hollywood Presbyterian Medical Center,,Los Angeles,34.09557,-118.29163,2013,100,0,1,64,22,0,0,1,0,0,6,6
Hollywood Presbyterian Medical Center,,Los Angeles,34.09557,-118.29163,2014,97,0,3,48,21,1,1,4,1,0,5,13
Hollywood Presbyterian Medical Center,,Los Angeles,34.09557,-118.29163,2015,101,0,6,48,23,0,0,3,0,0,4,17
Hollywood Presbyterian Medical Center,,Los Angeles,34.09557,-118.29163,2016,140,0,5,63,30,0,1,8,0,7,9,17
Hollywood Presbyterian Medical Center,,Los Angeles,34.09557,-118.29163,2017,109,0,2,45,34,0,2,2,1,2,6,15
Huntington Beach Hospital,,Orange,33.70442,-117.98895,2013,4,0,0,0,2,0,0,0,0,0,1,1
Huntington Beach Hospital,,Orange,33.70442,-117.98895,2014,2,0,0,0,2,0,0,0,0,0,0,0
Huntington Beach Hospital,,Orange,33.70442,-117.98895,2015,3,0,0,0,2,0,0,1,0,0,0,0
Huntington Beach Hospital,,Orange,33.70442,-117.98895,2016,2,0,0,0,1,0,0,0,0,1,0,0
Huntington Beach Hospital,,Orange,33.70442,-117.98895,2017,2,0,0,0,2,0,0,0,0,0,0,0
Huntington Memorial Hospital,,Los Angeles,34.13565,-118.1518,2013,441,6,27,145,61,1,8,25,16,122,18,12
Huntington Memorial Hospital,,Los Angeles,34.13565,-118.1518,2014,456,8,19,99,69,5,17,32,13,142,31,21
Huntington Memorial Hospital,,Los Angeles,34.13565,-118.1518,2015,314,11,12,80,36,4,8,16,11,109,14,13
Huntington Memorial Hospital,,Los Angeles,34.13565,-118.1518,2016,599,15,25,134,81,4,32,37,20,194,41,16
Huntington Memorial Hospital,,Los Angeles,34.13565,-118.1518,2017,555,21,23,124,81,6,24,39,17,167,35,18
John F. Kennedy Memorial Hospital,,Riverside,33.70677,-116.23391,2013,22,0,0,10,10,1,0,0,0,0,1,0
John F. Kennedy Memorial Hospital,,Riverside,33.70677,-116.23391,2014,37,0,0,27,8,0,0,1,0,0,1,0
John F. Kennedy Memorial Hospital,,Riverside,33.70677,-116.23391,2015,27,0,0,19,6,0,0,1,0,0,1,0
John F. Kennedy Memorial Hospital,,Riverside,33.70677,-116.23391,2016,31,0,0,23,5,0,1,1,0,0,1,0
John F. Kennedy Memorial Hospital,,Riverside,33.70677,-116.23391,2017,29,0,0,21,7,0,0,0,0,0,1,0
John Muir Medical Center – Concord Campus,,Contra Costa,37.98615,-122.03874,2013,210,0,0,68,30,6,0,28,0,54,21,3
John Muir Medical Center – Concord Campus,,Contra Costa,37.98615,-122.03874,2014,176,2,0,40,32,4,0,27,0,46,24,1
John Muir Medical Center – Concord Campus,,Contra Costa,37.98615,-122.03874,2015,128,1,0,24,24,2,0,26,1,27,18,5
John Muir Medical Center – Concord Campus,,Contra Costa,37.98615,-122.03874,2016,178,4,0,30,45,3,0,27,1,45,21,2
John Muir Medical Center – Concord Campus,,Contra Costa,37.98615,-122.03874,2017,218,4,0,33,43,12,0,26,0,64,33,3
John Muir Medical Center – Walnut Creek Campus,,Contra Costa,37.91434,-122.04183,2013,224,2,37,107,32,0,5,36,2,2,0,1
John Muir Medical Center – Walnut Creek Campus,,Contra Costa,37.91434,-122.04183,2014,211,0,30,104,45,0,6,19,4,0,1,2
John Muir Medical Center – Walnut Creek Campus,,Contra Costa,37.91434,-122.04183,2015,155,0,26,64,29,0,2,27,0,2,4,1
John Muir Medical Center – Walnut Creek Campus,,Contra Costa,37.91434,-122.04183,2016,234,2,45,105,37,0,8,24,2,1,8,2
John Muir Medical Center – Walnut Creek Campus,,Contra Costa,37.91434,-122.04183,2017,222,3,33,105,37,0,6,24,0,4,6,4
Kaiser Foundation Hospital – Antioch,,Contra Costa,37.951975,-121.776854,2013,208,2,0,104,42,0,31,0,10,1,6,12
Kaiser Foundation Hospital – Antioch,,Contra Costa,37.951975,-121.776854,2014,230,4,0,118,31,0,45,0,17,1,10,4
Kaiser Foundation Hospital – Antioch,,Contra Costa,37.951975,-121.776854,2015,117,2,0,73,14,0,12,0,6,0,6,4
Kaiser Foundation Hospital – Antioch,,Contra Costa,37.951975,-121.776854,2016,168,4,0,102,28,0,15,0,9,2,7,1
Kaiser Foundation Hospital – Antioch,,Contra Costa,37.951975,-121.776854,2017,155,4,0,110,21,0,4,0,2,6,7,1
Kaiser Foundation Hospital – Baldwin Park,,Los Angeles,34.06348,-117.986,2013,352,3,0,262,68,0,1,0,1,4,9,4
Kaiser Foundation Hospital – Baldwin Park,,Los Angeles,34.06348,-117.986,2014,335,4,0,237,68,0,0,0,0,2,17,7
Kaiser Foundation Hospital – Baldwin Park,,Los Angeles,34.06348,-117.986,2015,255,2,0,200,47,0,0,0,0,2,3,1
Kaiser Foundation Hospital – Baldwin Park,,Los Angeles,34.06348,-117.986,2016,351,4,0,266,44,0,1,0,0,4,28,4
Kaiser Foundation Hospital – Baldwin Park,,Los Angeles,34.06348,-117.986,2017,404,6,0,319,48,0,1,0,2,2,21,5
Kaiser Foundation Hospital – Downey,,Los Angeles,33.9171234,-118.1290216,2013,591,3,0,231,41,2,0,34,3,252,13,12
Kaiser Foundation Hospital – Downey,,Los Angeles,33.9171234,-118.1290216,2014,537,2,0,245,63,2,0,19,3,195,4,4
Kaiser Foundation Hospital – Downey,,Los Angeles,33.9171234,-118.1290216,2015,478,0,0,183,50,0,0,18,3,215,1,8
Kaiser Foundation Hospital – Downey,,Los Angeles,33.9171234,-118.1290216,2016,646,7,0,276,57,2,0,20,8,256,9,11
Kaiser Foundation Hospital – Downey,,Los Angeles,33.9171234,-118.1290216,2017,740,2,0,335,45,5,0,23,20,289,12,9
Kaiser Foundation Hospital – Fontana,,San Bernardino,34.0725,-117.43549,2013,679,8,30,414,105,10,3,51,2,26,22,8
Kaiser Foundation Hospital – Fontana,,San Bernardino,34.0725,-117.43549,2014,810,13,40,440,92,8,2,44,4,133,27,7
Kaiser Foundation Hospital – Fontana,,San Bernardino,34.0725,-117.43549,2015,622,11,18,324,70,3,0,30,2,134,24,6
Kaiser Foundation Hospital – Fontana,,San Bernardino,34.0725,-117.43549,2016,943,13,37,491,90,13,4,47,3,188,41,16
Kaiser Foundation Hospital – Fontana,,San Bernardino,34.0725,-117.43549,2017,946,13,39,506,94,12,4,44,2,174,50,8
Kaiser Foundation Hospital – Fremont,,Alameda,37.55055,-121.97483,2014,71,2,0,48,15,0,0,1,0,0,4,1
Kaiser Foundation Hospital – Fremont,,Alameda,37.55055,-121.97483,2015,80,1,0,55,19,0,0,0,0,0,4,1
Kaiser Foundation Hospital – Fremont,,Alameda,37.55055,-121.97483,2016,109,1,0,67,30,0,0,0,0,0,9,2
Kaiser Foundation Hospital – Fremont,,Alameda,37.55055,-121.97483,2017,133,0,0,86,38,0,0,0,1,0,8,0
Kaiser Foundation Hospital – Fresno,,Fresno,36.84246,-119.7832,2013,178,1,6,129,33,0,0,6,0,0,2,1
Kaiser Foundation Hospital – Fresno,,Fresno,36.84246,-119.7832,2014,138,0,3,103,28,0,0,0,0,1,2,1
Kaiser Foundation Hospital – Fresno,,Fresno,36.84246,-119.7832,2015,93,0,3,64,26,0,0,0,0,0,0,0
Kaiser Foundation Hospital – Fresno,,Fresno,36.84246,-119.7832,2016,164,0,5,132,23,0,0,0,0,0,4,0
Kaiser Foundation Hospital – Fresno,,Fresno,36.84246,-119.7832,2017,166,0,5,132,24,0,0,0,0,1,1,3
Kaiser Foundation Hospital – Hayward,,Alameda,37.62593,-122.09338,2013,312,9,0,194,43,1,10,21,6,2,19,7
Kaiser Foundation Hospital – Hayward,,Alameda,37.62593,-122.09338,2014,156,4,0,101,26,0,4,7,1,2,6,5
Kaiser Foundation Hospital – Manteca,,San Joaquin,37.79751,-121.24612,2013,306,5,0,184,40,2,0,33,0,27,13,2
Kaiser Foundation Hospital – Manteca,,San Joaquin,37.79751,-121.24612,2014,295,3,0,159,49,6,0,51,0,2,21,4
Kaiser Foundation Hospital – Manteca,,San Joaquin,37.79751,-121.24612,2015,241,0,0,135,45,8,0,37,0,3,7,6
Kaiser Foundation Hospital – Manteca,,San Joaquin,37.79751,-121.24612,2016,302,3,0,163,63,11,0,34,0,2,24,2
Kaiser Foundation Hospital – Manteca,,San Joaquin,37.79751,-121.24612,2017,379,6,0,229,66,7,1,36,2,4,26,2
Kaiser Foundation Hospital – Moreno Valley,,Riverside,33.89519,-117.18094,2013,39,0,0,33,6,0,0,0,0,0,0,0
Kaiser Foundation Hospital – Moreno Valley,,Riverside,33.89519,-117.18094,2014,28,0,0,19,9,0,0,0,0,0,0,0
Kaiser Foundation Hospital – Moreno Valley,,Riverside,33.89519,-117.18094,2015,45,0,0,38,7,0,0,0,0,0,0,0
Kaiser Foundation Hospital – Moreno Valley,,Riverside,33.89519,-117.18094,2016,74,0,0,62,11,0,0,0,0,0,0,1
Kaiser Foundation Hospital – Moreno Valley,,Riverside,33.89519,-117.18094,2017,63,0,0,43,16,0,0,0,0,0,3,1
Kaiser Foundation Hospital – Oakland Campus,,Alameda,37.82425,-122.25792,2013,570,21,0,293,74,14,13,46,12,59,24,14
Kaiser Foundation Hospital – Oakland Campus,,Alameda,37.82425,-122.25792,2014,296,13,0,159,35,10,10,20,11,15,13,10
Kaiser Foundation Hospital – Oakland/Richmond,,Alameda,37.82402,-122.25791,2014,290,9,0,126,39,12,13,36,11,21,18,5
Kaiser Foundation Hospital – Oakland/Richmond,,Alameda,37.82402,-122.25791,2015,479,13,0,232,58,12,33,54,13,26,29,9
Kaiser Foundation Hospital – Oakland/Richmond,,Alameda,37.82402,-122.25791,2016,694,17,0,326,70,14,54,97,32,40,37,7
Kaiser Foundation Hospital – Oakland/Richmond,,Alameda,37.82402,-122.25791,2017,666,22,0,290,67,28,51,97,43,34,28,6
Kaiser Foundation Hospital – Orange County – Anaheim,,Orange,33.8544317,-117.8439815,2013,578,11,30,380,65,5,5,28,7,13,28,6
Kaiser Foundation Hospital – Orange County – Anaheim,,Orange,33.8544317,-117.8439815,2014,658,7,27,435,68,5,8,39,9,19,22,19
Kaiser Foundation Hospital – Orange County – Anaheim,,Orange,33.8544317,-117.8439815,2015,526,13,24,322,80,4,7,33,8,1,26,8
Kaiser Foundation Hospital – Orange County – Anaheim,,Orange,33.8544317,-117.8439815,2016,679,22,27,460,68,6,12,28,13,1,34,8
Kaiser Foundation Hospital – Orange County – Anaheim,,Orange,33.8544317,-117.8439815,2017,770,17,22,535,90,6,10,36,11,3,37,3
Kaiser Foundation Hospital – Panorama City,,Los Angeles,34.21975,-118.43009,2013,310,3,0,167,49,4,3,65,5,0,4,10
Kaiser Foundation Hospital – Panorama City,,Los Angeles,34.21975,-118.43009,2014,286,1,0,162,37,2,2,47,10,2,6,17
Kaiser Foundation Hospital – Panorama City,,Los Angeles,34.21975,-118.43009,2015,201,4,0,108,38,1,1,35,3,0,2,9
Kaiser Foundation Hospital – Panorama City,,Los Angeles,34.21975,-118.43009,2016,321,0,0,191,55,7,3,46,4,2,6,7
Kaiser Foundation Hospital – Panorama City,,Los Angeles,34.21975,-118.43009,2017,340,0,0,210,46,3,7,58,6,1,6,3
Kaiser Foundation Hospital – Redwood City,,San Mateo,37.48948,-122.2232,2013,283,1,132,113,25,0,0,7,0,0,2,3
Kaiser Foundation Hospital – Redwood City,,San Mateo,37.48948,-122.2232,2014,295,1,156,100,23,1,0,7,0,0,2,5
Kaiser Foundation Hospital – Redwood City,,San Mateo,37.48967,-122.22463,2014,4,0,3,0,1,0,0,0,0,0,0,0
Kaiser Foundation Hospital – Redwood City,,San Mateo,37.48967,-122.22463,2015,224,4,118,77,19,0,0,5,0,0,1,0
Kaiser Foundation Hospital – Redwood City,,San Mateo,37.48967,-122.22463,2016,276,7,156,93,17,0,1,0,0,1,1,0
Kaiser Foundation Hospital – Redwood City,,San Mateo,37.48967,-122.22463,2017,263,3,140,93,27,0,0,0,0,0,0,0
Kaiser Foundation Hospital – Rehabilitation Center Vallejo,,Solano,38.12839,-122.24761,2013,267,6,0,183,32,4,0,24,0,1,16,1
Kaiser Foundation Hospital – Rehabilitation Center Vallejo,,Solano,38.12839,-122.24761,2014,269,1,0,166,45,12,0,27,0,0,16,2
Kaiser Foundation Hospital – Rehabilitation Center Vallejo,,Solano,38.12839,-122.24761,2015,177,2,0,136,17,1,0,6,0,1,12,2
Kaiser Foundation Hospital – Rehabilitation Center Vallejo,,Solano,38.12839,-122.24761,2016,324,3,0,241,39,5,1,14,0,1,19,1
Kaiser Foundation Hospital – Rehabilitation Center Vallejo,,Solano,38.12839,-122.24761,2017,358,3,0,272,41,3,0,18,0,1,20,0
Kaiser Foundation Hospital – Riverside,,Riverside,33.9063,-117.47082,2013,286,5,0,172,46,6,9,15,2,1,22,8
Kaiser Foundation Hospital – Riverside,,Riverside,33.9063,-117.47082,2014,305,2,0,181,56,6,6,27,5,2,16,4
Kaiser Foundation Hospital – Riverside,,Riverside,33.9063,-117.47082,2015,244,1,0,159,38,2,5,20,5,0,12,2
Kaiser Foundation Hospital – Riverside,,Riverside,33.9063,-117.47082,2016,412,4,0,280,53,3,10,23,7,2,25,5
Kaiser Foundation Hospital – Riverside,,Riverside,33.9063,-117.47082,2017,389,5,0,244,64,7,7,21,9,2,26,4
Kaiser Foundation Hospital – Roseville,,Placer,38.74636,-121.25107,2013,522,9,0,370,69,9,1,29,0,17,15,3
Kaiser Foundation Hospital – Roseville,,Placer,38.74636,-121.25107,2014,471,5,0,333,57,7,1,42,0,3,20,3
Kaiser Foundation Hospital – Roseville,,Placer,38.74636,-121.25107,2015,310,4,0,229,56,0,0,1,0,3,17,0
Kaiser Foundation Hospital – Roseville,,Placer,38.74636,-121.25107,2016,464,5,0,362,66,0,1,1,1,4,23,1
Kaiser Foundation Hospital – Roseville,,Placer,38.74636,-121.25107,2017,565,7,0,456,69,0,1,0,1,2,29,0
Kaiser Foundation Hospital – Sacramento,,Sacramento,38.60197,-121.39232,2013,401,1,86,209,44,2,9,17,15,3,8,7
Kaiser Foundation Hospital – Sacramento,,Sacramento,38.60197,-121.39232,2014,354,6,67,180,51,0,10,20,5,0,8,7
Kaiser Foundation Hospital – Sacramento,,Sacramento,38.60197,-121.39232,2015,296,2,46,164,43,0,14,0,12,0,8,7
Kaiser Foundation Hospital – Sacramento,,Sacramento,38.60197,-121.39232,2016,452,0,72,260,56,0,24,1,11,0,17,11
Kaiser Foundation Hospital – Sacramento,,Sacramento,38.60197,-121.39232,2017,468,1,72,249,57,0,29,0,26,0,17,17
Kaiser Foundation Hospital – San Diego,,San Diego,32.79287,-117.09447,2013,674,6,27,464,81,2,6,48,9,7,15,9
Kaiser Foundation Hospital – San Diego,,San Diego,32.79287,-117.09447,2014,712,3,25,514,67,6,12,61,6,2,5,11
Kaiser Foundation Hospital – San Diego,,San Diego,32.79287,-117.09447,2015,579,3,23,423,49,13,13,32,4,5,5,9
Kaiser Foundation Hospital – San Diego,,San Diego,32.79287,-117.09447,2016,726,5,16,518,80,7,14,54,14,3,9,6
Kaiser Foundation Hospital – San Diego,,San Diego,32.79287,-117.09447,2017,805,7,29,501,88,6,15,68,9,44,33,5
Kaiser Foundation Hospital – San Francisco,,San Francisco,37.78274,-122.44289,2013,332,4,0,168,38,5,31,32,21,6,22,5
Kaiser Foundation Hospital – San Francisco,,San Francisco,37.78274,-122.44289,2014,391,4,0,177,36,4,33,40,31,30,30,6
Kaiser Foundation Hospital – San Francisco,,San Francisco,37.78274,-122.44289,2015,282,1,0,134,26,0,25,4,14,49,24,5
Kaiser Foundation Hospital – San Francisco,,San Francisco,37.78274,-122.44289,2016,398,7,0,166,50,0,36,0,25,62,46,6
Kaiser Foundation Hospital – San Francisco,,San Francisco,37.78274,-122.44289,2017,403,6,0,198,40,0,27,0,26,59,47,0
Kaiser Foundation Hospital – San Jose,,Santa Clara,37.23924,-121.80269,2013,258,6,0,173,36,0,10,0,4,19,6,4
Kaiser Foundation Hospital – San Jose,,Santa Clara,37.23924,-121.80269,2014,264,9,0,164,47,0,7,0,8,5,19,5
Kaiser Foundation Hospital – San Jose,,Santa Clara,37.23924,-121.80269,2015,191,1,0,119,28,0,12,0,9,0,20,2
Kaiser Foundation Hospital – San Jose,,Santa Clara,37.23924,-121.80269,2016,278,6,0,197,41,0,15,0,7,2,9,1
Kaiser Foundation Hospital – San Jose,,Santa Clara,37.23924,-121.80269,2017,284,4,0,185,60,0,12,0,10,1,12,0
Kaiser Foundation Hospital – San Leandro,,Alameda,37.70611,-122.16917,2014,101,3,0,57,22,0,3,7,4,1,2,2
Kaiser Foundation Hospital – San Leandro,,Alameda,37.70611,-122.16917,2015,77,0,0,46,23,0,0,2,0,0,5,1
Kaiser Foundation Hospital – San Leandro,,Alameda,37.70611,-122.16917,2016,107,1,0,68,19,0,1,0,1,0,11,6
Kaiser Foundation Hospital – San Leandro,,Alameda,37.70611,-122.16917,2017,142,0,0,107,27,0,1,0,0,0,7,0
Kaiser Foundation Hospital – San Rafael,,Marin,38.0041,-122.55376,2013,180,3,0,144,32,0,0,0,0,1,0,0
Kaiser Foundation Hospital – San Rafael,,Marin,38.0041,-122.55376,2014,200,2,0,157,41,0,0,0,0,0,0,0
Kaiser Foundation Hospital – San Rafael,,Marin,38.0041,-122.55376,2015,124,1,0,92,30,0,0,0,0,0,1,0
Kaiser Foundation Hospital – San Rafael,,Marin,38.0041,-122.55376,2016,193,5,0,148,36,0,0,0,0,2,1,1
Kaiser Foundation Hospital – San Rafael,,Marin,38.0041,-122.55376,2017,183,2,0,143,30,0,0,0,0,7,1,0
Kaiser Foundation Hospital – Santa Clara,,Santa Clara,37.334597,-121.995774,2013,736,11,0,362,68,2,7,42,3,209,8,24
Kaiser Foundation Hospital – Santa Clara,,Santa Clara,37.334597,-121.995774,2014,591,15,0,307,77,6,1,56,1,107,7,14
Kaiser Foundation Hospital – Santa Clara,,Santa Clara,37.334597,-121.995774,2015,469,10,0,291,37,4,1,34,1,77,3,11
Kaiser Foundation Hospital – Santa Clara,,Santa Clara,37.334597,-121.995774,2016,600,12,0,357,54,2,0,56,0,98,18,3
Kaiser Foundation Hospital – Santa Clara,,Santa Clara,37.334597,-121.995774,2017,631,11,0,359,67,8,3,50,1,110,21,1
Kaiser Foundation Hospital – Santa Rosa,,Sonoma,38.47087,-122.73119,2013,270,1,0,221,39,0,0,3,0,0,6,0
Kaiser Foundation Hospital – Santa Rosa,,Sonoma,38.47087,-122.73119,2014,247,2,0,208,34,0,0,0,0,0,3,0
Kaiser Foundation Hospital – Santa Rosa,,Sonoma,38.47087,-122.73119,2015,176,5,0,149,22,0,0,0,0,0,0,0
Kaiser Foundation Hospital – Santa Rosa,,Sonoma,38.47087,-122.73119,2016,198,4,0,161,30,0,0,0,0,0,2,1
Kaiser Foundation Hospital – Santa Rosa,,Sonoma,38.47087,-122.73119,2017,188,5,0,146,30,0,1,0,0,2,3,1
Kaiser Foundation Hospital – South Bay,,Los Angeles,33.789,-118.29415,2013,321,1,0,236,41,0,5,0,10,10,6,12
Kaiser Foundation Hospital – South Bay,,Los Angeles,33.789,-118.29415,2014,346,0,0,267,48,1,3,0,6,5,7,9
Kaiser Foundation Hospital – South Bay,,Los Angeles,33.789,-118.29415,2015,243,7,0,176,37,4,0,0,3,0,8,8
Kaiser Foundation Hospital – South Bay,,Los Angeles,33.789,-118.29415,2016,379,4,0,284,46,4,2,0,15,0,13,11
Kaiser Foundation Hospital – South Bay,,Los Angeles,33.789,-118.29415,2017,387,2,0,295,48,2,4,0,8,2,18,8
Kaiser Foundation Hospital – South Sacramento,,Sacramento,38.47144,-121.42409,2013,597,21,0,242,50,1,9,22,2,226,18,6
Kaiser Foundation Hospital – South Sacramento,,Sacramento,38.47144,-121.42409,2014,493,19,0,227,52,3,10,21,0,136,21,4
Kaiser Foundation Hospital – South Sacramento,,Sacramento,38.47144,-121.42409,2015,450,19,0,185,35,13,5,64,0,109,13,7
Kaiser Foundation Hospital – South Sacramento,,Sacramento,38.47144,-121.42409,2016,588,26,0,240,46,8,0,71,0,168,25,4
Kaiser Foundation Hospital – South Sacramento,,Sacramento,38.47144,-121.42409,2017,688,41,0,247,52,9,1,77,0,235,24,2
Kaiser Foundation Hospital – South San Francisco,,San Mateo,37.65806,-122.43837,2013,191,2,0,130,25,2,0,15,7,0,7,3
Kaiser Foundation Hospital – South San Francisco,,San Mateo,37.65806,-122.43837,2014,171,3,0,100,34,0,1,18,4,0,5,6
Kaiser Foundation Hospital – South San Francisco,,San Mateo,37.65806,-122.43837,2015,146,0,0,98,22,0,4,9,1,0,4,8
Kaiser Foundation Hospital – South San Francisco,,San Mateo,37.65806,-122.43837,2016,187,1,0,126,23,0,0,1,0,0,7,29
Kaiser Foundation Hospital – South San Francisco,,San Mateo,37.65806,-122.43837,2017,230,2,0,144,33,2,0,0,0,0,13,36
Kaiser Foundation Hospital – Sunset,,Los Angeles,34.09823,-118.29545,2013,608,25,44,238,50,1,68,48,23,72,27,12
Kaiser Foundation Hospital – Sunset,,Los Angeles,34.09823,-118.29545,2014,588,20,50,226,48,9,83,42,16,52,26,16
Kaiser Foundation Hospital – Sunset,,Los Angeles,34.09823,-118.29545,2015,490,14,58,192,41,9,58,29,13,41,21,14
