Hospital Name,State,County,Year,Total Surgeries for All Cancer Types,Bladder,Brain,Breast,Colon,Esophagus,Liver,Lung,Pancreas,Prostate,Rectum,Stomach
Huntington Memorial Hospital,CA,Los Angeles,2013,441,6,27,145,61,1,8,25,16,122,18,12
Huntington Memorial Hospital,CA,Los Angeles,2014,456,8,19,99,69,5,17,32,13,142,31,21
Huntington Memorial Hospital,CA,Los Angeles,2015,314,11,12,80,36,4,8,16,11,109,14,13
Huntington Memorial Hospital,CA,Los Angeles,2016,599,15,25,134,81,4,32,37,20,194,41,16
Huntington Memorial Hospital,CA,Los Angeles,2017,555,21,23,124,81,6,24,39,17,167,35,18
John F. Kennedy Memorial Hospital,CA,Riverside,2013,22,0,0,10,10,1,0,0,0,0,1,0
John F. Kennedy Memorial Hospital,CA,Riverside,2014,37,0,0,27,8,0,0,1,0,0,1,0
John F. Kennedy Memorial Hospital,CA,Riverside,2015,27,0,0,19,6,0,0,1,0,0,1,0
John F. Kennedy Memorial Hospital,CA,Riverside,2016,31,0,0,23,5,0,1,1,0,0,1,0
John F. Kennedy Memorial Hospital,CA,Riverside,2017,29,0,0,21,7,0,0,0,0,0,1,0
John Muir Medical Center – Concord Campus,CA,Contra Costa,2013,210,0,0,68,30,6,0,28,0,54,21,3
John Muir Medical Center – Concord Campus,CA,Contra Costa,2014,176,2,0,40,32,4,0,27,0,46,24,1
John Muir Medical Center – Concord Campus,CA,Contra Costa,2015,128,1,0,24,24,2,0,26,1,27,18,5
John Muir Medical Center – Concord Campus,CA,Contra Costa,2016,178,4,0,30,45,3,0,27,1,45,21,2
John Muir Medical Center – Concord Campus,CA,Contra Costa,2017,218,4,0,33,43,12,0,26,0,64,33,3
John Muir Medical Center – Walnut Creek Campus,CA,Contra Costa,2013,224,2,37,107,32,0,5,36,2,2,0,1
John Muir Medical Center – Walnut Creek Campus,CA,Contra Costa,2014,211,0,30,104,45,0,6,19,4,0,1,2
John Muir Medical Center – Walnut Creek Campus,CA,Contra Costa,2015,155,0,26,64,29,0,2,27,0,2,4,1
John Muir Medical Center – Walnut Creek Campus,CA,Contra Costa,2016,234,2,45,105,37,0,8,24,2,1,8,2
John Muir Medical Center – Walnut Creek Campus,CA,Contra Costa,2017,222,3,33,105,37,0,6,24,0,4,6,4
Kaiser Foundation Hospital – Antioch,CA,Contra Costa,2013,208,2,0,104,42,0,31,0,10,1,6,12
Kaiser Foundation Hospital – Antioch,CA,Contra Costa,2014,230,4,0,118,31,0,45,0,17,1,10,4
Kaiser Foundation Hospital – Antioch,CA,Contra Costa,2015,117,2,0,73,14,0,12,0,6,0,6,4
Kaiser Foundation Hospital – Antioch,CA,Contra Costa,2016,168,4,0,102,28,0,15,0,9,2,7,1
Kaiser Foundation Hospital – Antioch,CA,Contra Costa,2017,155,4,0,110,21,0,4,0,2,6,7,1
Kaiser Foundation Hospital – Baldwin Park,CA,Los Angeles,2013,352,3,0,262,68,0,1,0,1,4,9,4
Kaiser Foundation Hospital – Baldwin Park,CA,Los Angeles,2014,335,4,0,237,68,0,0,0,0,2,17,7
Kaiser Foundation Hospital – Baldwin Park,CA,Los Angeles,2015,255,2,0,200,47,0,0,0,0,2,3,1
Kaiser Foundation Hospital – Baldwin Park,CA,Los Angeles,2016,351,4,0,266,44,0,1,0,0,4,28,4
Kaiser Foundation Hospital – Baldwin Park,CA,Los Angeles,2017,404,6,0,319,48,0,1,0,2,2,21,5
Kaiser Foundation Hospital – Downey,CA,Los Angeles,2013,591,3,0,231,41,2,0,34,3,252,13,12
Kaiser Foundation Hospital – Downey,CA,Los Angeles,2014,537,2,0,245,63,2,0,19,3,195,4,4
Kaiser Foundation Hospital – Downey,CA,Los Angeles,2015,478,0,0,183,50,0,0,18,3,215,1,8
Kaiser Foundation Hospital – Downey,CA,Los Angeles,2016,646,7,0,276,57,2,0,20,8,256,9,11
Kaiser Foundation Hospital – Downey,CA,Los Angeles,2017,740,2,0,335,45,5,0,23,20,289,12,9
Kaiser Foundation Hospital – Fontana,CA,San Bernardino,2013,679,8,30,414,105,10,3,51,2,26,22,8
Kaiser Foundation Hospital – Fontana,CA,San Bernardino,2014,810,13,40,440,92,8,2,44,4,133,27,7
Kaiser Foundation Hospital – Fontana,CA,San Bernardino,2015,622,11,18,324,70,3,0,30,2,134,24,6
Kaiser Foundation Hospital – Fontana,CA,San Bernardino,2016,943,13,37,491,90,13,4,47,3,188,41,16
Kaiser Foundation Hospital – Fontana,CA,San Bernardino,2017,946,13,39,506,94,12,4,44,2,174,50,8
Kaiser Foundation Hospital – Fremont,CA,Alameda,2014,71,2,0,48,15,0,0,1,0,0,4,1
Kaiser Foundation Hospital – Fremont,CA,Alameda,2015,80,1,0,55,19,0,0,0,0,0,4,1
Kaiser Foundation Hospital – Fremont,CA,Alameda,2016,109,1,0,67,30,0,0,0,0,0,9,2
Kaiser Foundation Hospital – Fremont,CA,Alameda,2017,133,0,0,86,38,0,0,0,1,0,8,0
Kaiser Foundation Hospital – Fresno,CA,Fresno,2013,178,1,6,129,33,0,0,6,0,0,2,1
Kaiser Foundation Hospital – Fresno,CA,Fresno,2014,138,0,3,103,28,0,0,0,0,1,2,1
Kaiser Foundation Hospital – Fresno,CA,Fresno,2015,93,0,3,64,26,0,0,0,0,0,0,0
Kaiser Foundation Hospital – Fresno,CA,Fresno,2016,164,0,5,132,23,0,0,0,0,0,4,0
Kaiser Foundation Hospital – Fresno,CA,Fresno,2017,166,0,5,132,24,0,0,0,0,1,1,3
Kaiser Foundation Hospital – Hayward,CA,Alameda,2013,312,9,0,194,43,1,10,21,6,2,19,7
Kaiser Foundation Hospital – Hayward,CA,Alameda,2014,156,4,0,101,26,0,4,7,1,2,6,5
Kaiser Foundation Hospital – Manteca,CA,San Joaquin,2013,306,5,0,184,40,2,0,33,0,27,13,2
Kaiser Foundation Hospital – Manteca,CA,San Joaquin,2014,295,3,0,159,49,6,0,51,0,2,21,4
Kaiser Foundation Hospital – Manteca,CA,San Joaquin,2015,241,0,0,135,45,8,0,37,0,3,7,6
Kaiser Foundation Hospital – Manteca,CA,San Joaquin,2016,302,3,0,163,63,11,0,34,0,2,24,2
Kaiser Foundation Hospital – Manteca,CA,San Joaquin,2017,379,6,0,229,66,7,1,36,2,4,26,2
Kaiser Foundation Hospital – Moreno Valley,CA,Riverside,2013,39,0,0,33,6,0,0,0,0,0,0,0
Kaiser Foundation Hospital – Moreno Valley,CA,Riverside,2014,28,0,0,19,9,0,0,0,0,0,0,0
Kaiser Foundation Hospital – Moreno Valley,CA,Riverside,2015,45,0,0,38,7,0,0,0,0,0,0,0
Kaiser Foundation Hospital – Moreno Valley,CA,Riverside,2016,74,0,0,62,11,0,0,0,0,0,0,1
Kaiser Foundation Hospital – Moreno Valley,CA,Riverside,2017,63,0,0,43,16,0,0,0,0,0,3,1
Kaiser Foundation Hospital – Oakland Campus,CA,Alameda,2013,570,21,0,293,74,14,13,46,12,59,24,14
Kaiser Foundation Hospital – Oakland Campus,CA,Alameda,2014,296,13,0,159,35,10,10,20,11,15,13,10
Kaiser Foundation Hospital – Oakland/Richmond,CA,Alameda,2014,290,9,0,126,39,12,13,36,11,21,18,5
Kaiser Foundation Hospital – Oakland/Richmond,CA,Alameda,2015,479,13,0,232,58,12,33,54,13,26,29,9
Kaiser Foundation Hospital – Oakland/Richmond,CA,Alameda,2016,694,17,0,326,70,14,54,97,32,40,37,7
Kaiser Foundation Hospital – Oakland/Richmond,CA,Alameda,2017,666,22,0,290,67,28,51,97,43,34,28,6
Kaiser Foundation Hospital – Orange County – Anaheim,CA,Orange,2013,578,11,30,380,65,5,5,28,7,13,28,6
Kaiser Foundation Hospital – Orange County – Anaheim,CA,Orange,2014,658,7,27,435,68,5,8,39,9,19,22,19
Kaiser Foundation Hospital – Orange County – Anaheim,CA,Orange,2015,526,13,24,322,80,4,7,33,8,1,26,8
Kaiser Foundation Hospital – Orange County – Anaheim,CA,Orange,2016,679,22,27,460,68,6,12,28,13,1,34,8
Kaiser Foundation Hospital – Orange County – Anaheim,CA,Orange,2017,770,17,22,535,90,6,10,36,11,3,37,3
Kaiser Foundation Hospital – Panorama City,CA,Los Angeles,2013,310,3,0,167,49,4,3,65,5,0,4,10
Kaiser Foundation Hospital – Panorama City,CA,Los Angeles,2014,286,1,0,162,37,2,2,47,10,2,6,17
Kaiser Foundation Hospital – Panorama City,CA,Los Angeles,2015,201,4,0,108,38,1,1,35,3,0,2,9
Kaiser Foundation Hospital – Panorama City,CA,Los Angeles,2016,321,0,0,191,55,7,3,46,4,2,6,7
Kaiser Foundation Hospital – Panorama City,CA,Los Angeles,2017,340,0,0,210,46,3,7,58,6,1,6,3
Kaiser Foundation Hospital – Redwood City,CA,San Mateo,2013,283,1,132,113,25,0,0,7,0,0,2,3
Kaiser Foundation Hospital – Redwood City,CA,San Mateo,2014,295,1,156,100,23,1,0,7,0,0,2,5
Kaiser Foundation Hospital – Redwood City,CA,San Mateo,2014,4,0,3,0,1,0,0,0,0,0,0,0
Kaiser Foundation Hospital – Redwood City,CA,San Mateo,2015,224,4,118,77,19,0,0,5,0,0,1,0
Kaiser Foundation Hospital – Redwood City,CA,San Mateo,2016,276,7,156,93,17,0,1,0,0,1,1,0
Kaiser Foundation Hospital – Redwood City,CA,San Mateo,2017,263,3,140,93,27,0,0,0,0,0,0,0
Kaiser Foundation Hospital – Rehabilitation Center Vallejo,CA,Solano,2013,267,6,0,183,32,4,0,24,0,1,16,1
Kaiser Foundation Hospital – Rehabilitation Center Vallejo,CA,Solano,2014,269,1,0,166,45,12,0,27,0,0,16,2
Kaiser Foundation Hospital – Rehabilitation Center Vallejo,CA,Solano,2015,177,2,0,136,17,1,0,6,0,1,12,2
Kaiser Foundation Hospital – Rehabilitation Center Vallejo,CA,Solano,2016,324,3,0,241,39,5,1,14,0,1,19,1
Kaiser Foundation Hospital – Rehabilitation Center Vallejo,CA,Solano,2017,358,3,0,272,41,3,0,18,0,1,20,0
Kaiser Foundation Hospital – Riverside,CA,Riverside,2013,286,5,0,172,46,6,9,15,2,1,22,8
Kaiser Foundation Hospital – Riverside,CA,Riverside,2014,305,2,0,181,56,6,6,27,5,2,16,4
Kaiser Foundation Hospital – Riverside,CA,Riverside,2015,244,1,0,159,38,2,5,20,5,0,12,2
Kaiser Foundation Hospital – Riverside,CA,Riverside,2016,412,4,0,280,53,3,10,23,7,2,25,5
Kaiser Foundation Hospital – Riverside,CA,Riverside,2017,389,5,0,244,64,7,7,21,9,2,26,4
Kaiser Foundation Hospital – Roseville,CA,Placer,2013,522,9,0,370,69,9,1,29,0,17,15,3
Kaiser Foundation Hospital – Roseville,CA,Placer,2014,471,5,0,333,57,7,1,42,0,3,20,3
Kaiser Foundation Hospital – Roseville,CA,Placer,2015,310,4,0,229,56,0,0,1,0,3,17,0
Kaiser Foundation Hospital – Roseville,CA,Placer,2016,464,5,0,362,66,0,1,1,1,4,23,1
Kaiser Foundation Hospital – Roseville,CA,Placer,2017,565,7,0,456,69,0,1,0,1,2,29,0
Kaiser Foundation Hospital – Sacramento,CA,Sacramento,2013,401,1,86,209,44,2,9,17,15,3,8,7
Kaiser Foundation Hospital – Sacramento,CA,Sacramento,2014,354,6,67,180,51,0,10,20,5,0,8,7
Kaiser Foundation Hospital – Sacramento,CA,Sacramento,2015,296,2,46,164,43,0,14,0,12,0,8,7
Kaiser Foundation Hospital – Sacramento,CA,Sacramento,2016,452,0,72,260,56,0,24,1,11,0,17,11
Kaiser Foundation Hospital – Sacramento,CA,Sacramento,2017,468,1,72,249,57,0,29,0,26,0,17,17
Kaiser Foundation Hospital – San Diego,CA,San Diego,2013,674,6,27,464,81,2,6,48,9,7,15,9
Kaiser Foundation Hospital – San Diego,CA,San Diego,2014,712,3,25,514,67,6,12,61,6,2,5,11
Kaiser Foundation Hospital – San Diego,CA,San Diego,2015,579,3,23,423,49,13,13,32,4,5,5,9
Kaiser Foundation Hospital – San Diego,CA,San Diego,2016,726,5,16,518,80,7,14,54,14,3,9,6
Kaiser Foundation Hospital – San Diego,CA,San Diego,2017,805,7,29,501,88,6,15,68,9,44,33,5
Kaiser Foundation Hospital – San Francisco,CA,San Francisco,2013,332,4,0,168,38,5,31,32,21,6,22,5
Kaiser Foundation Hospital – San Francisco,CA,San Francisco,2014,391,4,0,177,36,4,33,40,31,30,30,6
Kaiser Foundation Hospital – San Francisco,CA,San Francisco,2015,282,1,0,134,26,0,25,4,14,49,24,5
Kaiser Foundation Hospital – San Francisco,CA,San Francisco,2016,398,7,0,166,50,0,36,0,25,62,46,6
Kaiser Foundation Hospital – San Francisco,CA,San Francisco,2017,403,6,0,198,40,0,27,0,26,59,47,0
Kaiser Foundation Hospital – San Jose,CA,Santa Clara,2013,258,6,0,173,36,0,10,0,4,19,6,4
Kaiser Foundation Hospital – San Jose,CA,Santa Clara,2014,264,9,0,164,47,0,7,0,8,5,19,5
Kaiser Foundation Hospital – San Jose,CA,Santa Clara,2015,191,1,0,119,28,0,12,0,9,0,20,2
Kaiser Foundation Hospital – San Jose,CA,Santa Clara,2016,278,6,0,197,41,0,15,0,7,2,9,1
Kaiser Foundation Hospital – San Jose,CA,Santa Clara,2017,284,4,0,185,60,0,12,0,10,1,12,0
Kaiser Foundation Hospital – San Leandro,CA,Alameda,2014,101,3,0,57,22,0,3,7,4,1,2,2
Kaiser Foundation Hospital – San Leandro,CA,Alameda,2015,77,0,0,46,23,0,0,2,0,0,5,1
Kaiser Foundation Hospital – San Leandro,CA,Alameda,2016,107,1,0,68,19,0,1,0,1,0,11,6
Kaiser Foundation Hospital – San Leandro,CA,Alameda,2017,142,0,0,107,27,0,1,0,0,0,7,0
Kaiser Foundation Hospital – San Rafael,CA,Marin,2013,180,3,0,144,32,0,0,0,0,1,0,0
Kaiser Foundation Hospital – San Rafael,CA,Marin,2014,200,2,0,157,41,0,0,0,0,0,0,0
Kaiser Foundation Hospital – San Rafael,CA,Marin,2015,124,1,0,92,30,0,0,0,0,0,1,0
Kaiser Foundation Hospital – San Rafael,CA,Marin,2016,193,5,0,148,36,0,0,0,0,2,1,1
Kaiser Foundation Hospital – San Rafael,CA,Marin,2017,183,2,0,143,30,0,0,0,0,7,1,0
Kaiser Foundation Hospital – Santa Clara,CA,Santa Clara,2013,736,11,0,362,68,2,7,42,3,209,8,24
Kaiser Foundation Hospital – Santa Clara,CA,Santa Clara,2014,591,15,0,307,77,6,1,56,1,107,7,14
Kaiser Foundation Hospital – Santa Clara,CA,Santa Clara,2015,469,10,0,291,37,4,1,34,1,77,3,11
Kaiser Foundation Hospital – Santa Clara,CA,Santa Clara,2016,600,12,0,357,54,2,0,56,0,98,18,3
Kaiser Foundation Hospital – Santa Clara,CA,Santa Clara,2017,631,11,0,359,67,8,3,50,1,110,21,1
Kaiser Foundation Hospital – Santa Rosa,CA,Sonoma,2013,270,1,0,221,39,0,0,3,0,0,6,0
Kaiser Foundation Hospital – Santa Rosa,CA,Sonoma,2014,247,2,0,208,34,0,0,0,0,0,3,0
Kaiser Foundation Hospital – Santa Rosa,CA,Sonoma,2015,176,5,0,149,22,0,0,0,0,0,0,0
Kaiser Foundation Hospital – Santa Rosa,CA,Sonoma,2016,198,4,0,161,30,0,0,0,0,0,2,1
Kaiser Foundation Hospital – Santa Rosa,CA,Sonoma,2017,188,5,0,146,30,0,1,0,0,2,3,1
Kaiser Foundation Hospital – South Bay,CA,Los Angeles,2013,321,1,0,236,41,0,5,0,10,10,6,12
Kaiser Foundation Hospital – South Bay,CA,Los Angeles,2014,346,0,0,267,48,1,3,0,6,5,7,9
Kaiser Foundation Hospital – South Bay,CA,Los Angeles,2015,243,7,0,176,37,4,0,0,3,0,8,8
Kaiser Foundation Hospital – South Bay,CA,Los Angeles,2016,379,4,0,284,46,4,2,0,15,0,13,11
Kaiser Foundation Hospital – South Bay,CA,Los Angeles,2017,387,2,0,295,48,2,4,0,8,2,18,8
Kaiser Foundation Hospital – South Sacramento,CA,Sacramento,2013,597,21,0,242,50,1,9,22,2,226,18,6
Kaiser Foundation Hospital – South Sacramento,CA,Sacramento,2014,493,19,0,227,52,3,10,21,0,136,21,4
Kaiser Foundation Hospital – South Sacramento,CA,Sacramento,2015,450,19,0,185,35,13,5,64,0,109,13,7
Kaiser Foundation Hospital – South Sacramento,CA,Sacramento,2016,588,26,0,240,46,8,0,71,0,168,25,4
Kaiser Foundation Hospital – South Sacramento,CA,Sacramento,2017,688,41,0,247,52,9,1,77,0,235,24,2
Kaiser Foundation Hospital – South San Francisco,CA,San Mateo,2013,191,2,0,130,25,2,0,15,7,0,7,3
Kaiser Foundation Hospital – South San Francisco,CA,San Mateo,2014,171,3,0,100,34,0,1,18,4,0,5,6
Kaiser Foundation Hospital – South San Francisco,CA,San Mateo,2015,146,0,0,98,22,0,4,9,1,0,4,8
Kaiser Foundation Hospital – South San Francisco,CA,San Mateo,2016,187,1,0,126,23,0,0,1,0,0,7,29
Kaiser Foundation Hospital – South San Francisco,CA,San Mateo,2017,230,2,0,144,33,2,0,0,0,0,13,36
Kaiser Foundation Hospital – Sunset,CA,Los Angeles,2013,608,25,44,238,50,1,68,48,23,72,27,12
Kaiser Foundation Hospital – Sunset,CA,Los Angeles,2014,588,20,50,226,48,9,83,42,16,52,26,16
Kaiser Foundation Hospital – Sunset,CA,Los Angeles,2015,490,14,58,192,41,9,58,29,13,41,21,14
Kaiser Foundation Hospital – Sunset,CA,Los Angeles,2016,682,31,73,240,49,9,86,39,18,68,55,14
Kaiser Foundation Hospital – Sunset,CA,Los Angeles,2017,740,29,73,278,57,8,89,46,19,77,43,21
Kaiser Foundation Hospital – Vacaville,CA,Solano,2013,74,2,1,47,19,0,0,0,0,4,1,0
Kaiser Foundation Hospital – Vacaville,CA,Solano,2014,82,7,10,49,15,0,0,0,0,1,0,0
Kaiser Foundation Hospital – Vacaville,CA,Solano,2015,83,3,11,35,15,4,0,15,0,0,0,0
Kaiser Foundation Hospital – Vacaville,CA,Solano,2016,38,3,15,2,13,0,0,0,0,2,2,1
Kaiser Foundation Hospital – Vacaville,CA,Solano,2017,40,4,17,0,17,0,1,0,0,1,0,0
Kaiser Foundation Hospital – Walnut Creek,CA,Contra Costa,2013,550,4,0,375,78,5,1,46,1,11,26,3
Kaiser Foundation Hospital – Walnut Creek,CA,Contra Costa,2014,484,14,0,339,68,1,0,25,0,14,23,0
Kaiser Foundation Hospital – Walnut Creek,CA,Contra Costa,2015,350,8,0,257,54,0,0,0,0,11,18,2
Kaiser Foundation Hospital – Walnut Creek,CA,Contra Costa,2016,440,11,0,310,73,0,2,0,1,10,33,0
Kaiser Foundation Hospital – Walnut Creek,CA,Contra Costa,2017,436,9,0,317,69,0,3,0,0,9,29,0
Kaiser Foundation Hospital – West Los Angeles,CA,Los Angeles,2013,624,5,0,179,59,0,7,3,10,342,10,9
Kaiser Foundation Hospital – West Los Angeles,CA,Los Angeles,2014,516,1,0,196,39,0,6,8,6,239,9,12
Kaiser Foundation Hospital – West Los Angeles,CA,Los Angeles,2015,427,0,0,164,41,1,4,28,7,171,9,2
Kaiser Foundation Hospital – West Los Angeles,CA,Los Angeles,2016,636,3,0,271,38,1,7,26,7,253,24,6
Kaiser Foundation Hospital – West Los Angeles,CA,Los Angeles,2017,638,7,0,265,39,3,9,34,12,236,29,4
Kaiser Foundation Hospital – Woodland Hills,CA,Los Angeles,2013,304,4,0,237,39,0,3,0,0,5,14,2
Kaiser Foundation Hospital – Woodland Hills,CA,Los Angeles,2014,320,9,0,233,41,0,4,0,2,9,15,7
Kaiser Foundation Hospital – Woodland Hills,CA,Los Angeles,2015,252,7,0,196,30,0,2,0,2,4,10,1
Kaiser Foundation Hospital – Woodland Hills,CA,Los Angeles,2016,320,9,0,232,50,0,3,0,0,8,17,1
Kaiser Foundation Hospital – Woodland Hills,CA,Los Angeles,2017,378,3,0,300,40,0,3,0,0,8,21,3
Kaweah Delta Medical Center,CA,Tulare,2013,223,3,0,137,33,1,0,12,0,25,11,1
Kaweah Delta Medical Center,CA,Tulare,2014,211,2,0,99,53,1,0,9,0,33,11,3
Kaweah Delta Medical Center,CA,Tulare,2015,146,4,4,85,17,0,0,5,0,21,9,1
Kaweah Delta Medical Center,CA,Tulare,2016,260,3,10,138,49,1,2,7,2,26,17,5
Kaweah Delta Medical Center,CA,Tulare,2017,215,0,0,124,37,0,2,3,2,23,16,8
Keck Hospital of University of Southern California,CA,Los Angeles,2013,934,135,51,97,34,44,87,35,32,361,35,23
Keck Hospital of University of Southern California,CA,Los Angeles,2014,937,153,65,98,27,45,116,34,41,304,27,27
Keck Hospital of University of Southern California,CA,Los Angeles,2015,729,123,33,67,26,19,67,21,30,278,45,20
Keck Hospital of University of Southern California,CA,Los Angeles,2016,1146,177,70,114,65,21,103,24,41,435,75,21
Keck Hospital of University of Southern California,CA,Los Angeles,2017,1016,162,67,105,57,26,95,29,48,341,75,11
Kern Medical Center,CA,Kern,2013,50,0,3,31,6,0,2,1,0,0,3,4
Kern Medical Center,CA,Kern,2014,81,0,5,52,11,0,5,2,1,0,3,2
Kern Medical Center,CA,Kern,2015,46,0,2,32,5,0,3,0,2,0,2,0
Kern Medical Center,CA,Kern,2016,71,0,2,34,12,1,6,2,1,10,3,0
Kern Medical Center,CA,Kern,2017,81,1,5,43,5,2,4,2,1,12,5,1
La Palma Intercommunity Hospital,CA,Orange,2013,5,0,0,0,2,0,0,1,0,0,0,2
La Palma Intercommunity Hospital,CA,Orange,2014,7,0,0,2,4,0,0,0,0,0,0,1
La Palma Intercommunity Hospital,CA,Orange,2015,10,0,0,0,7,0,0,0,0,0,1,2
La Palma Intercommunity Hospital,CA,Orange,2016,10,0,0,0,6,0,1,0,0,0,3,0
La Palma Intercommunity Hospital,CA,Orange,2017,9,0,0,1,7,0,0,0,0,0,0,1
Lakewood Regional Medical Center,CA,Los Angeles,2013,61,0,5,20,22,1,0,5,0,2,0,6
Lakewood Regional Medical Center,CA,Los Angeles,2014,90,0,9,33,20,2,1,8,1,13,0,3
Lakewood Regional Medical Center,CA,Los Angeles,2015,59,0,1,19,13,0,0,5,0,18,1,2
Lakewood Regional Medical Center,CA,Los Angeles,2016,80,2,5,29,19,1,1,6,3,6,4,4
Lakewood Regional Medical Center,CA,Los Angeles,2017,77,0,4,20,19,2,1,7,2,5,9,8
Lodi Memorial Hospital,CA,San Joaquin,2013,75,3,0,29,21,0,0,4,0,17,0,1
Lodi Memorial Hospital,CA,San Joaquin,2014,58,2,0,33,10,0,0,1,0,9,3,0
Lodi Memorial Hospital,CA,San Joaquin,2015,41,1,0,22,9,0,0,2,0,4,2,1
Lodi Memorial Hospital,CA,San Joaquin,2016,78,4,0,28,13,0,2,0,1,25,4,1
Lodi Memorial Hospital,CA,San Joaquin,2017,64,2,0,18,14,0,0,0,0,27,3,0
Loma Linda University Medical Center,CA,San Bernardino,2013,420,29,34,137,42,3,27,29,13,88,14,4
Loma Linda University Medical Center,CA,San Bernardino,2014,401,24,30,143,41,5,14,28,13,72,24,7
Loma Linda University Medical Center,CA,San Bernardino,2015,331,21,41,100,30,3,18,23,15,63,12,5
Loma Linda University Medical Center,CA,San Bernardino,2016,534,33,52,152,44,9,43,33,23,105,33,7
Loma Linda University Medical Center,CA,San Bernardino,2017,601,24,70,187,51,6,42,31,19,119,42,10
Loma Linda University Medical Center – Murrieta,CA,Riverside,2013,108,0,3,66,22,0,1,7,0,0,7,2
Loma Linda University Medical Center – Murrieta,CA,Riverside,2014,139,0,10,83,20,0,0,17,0,1,6,2
Loma Linda University Medical Center – Murrieta,CA,Riverside,2015,115,0,3,52,28,0,1,17,0,7,7,0
Loma Linda University Medical Center – Murrieta,CA,Riverside,2016,156,1,10,84,26,0,0,8,0,12,13,2
Loma Linda University Medical Center – Murrieta,CA,Riverside,2017,136,0,8,78,36,0,0,3,0,5,5,1
Lompoc Valley Medical Center,CA,Santa Barbara,2013,20,0,0,7,10,0,0,0,0,0,1,2
Lompoc Valley Medical Center,CA,Santa Barbara,2014,26,0,0,11,13,0,0,0,0,0,2,0
Lompoc Valley Medical Center,CA,Santa Barbara,2015,18,0,0,6,11,0,0,0,0,0,1,0
Lompoc Valley Medical Center,CA,Santa Barbara,2016,19,0,0,3,15,0,0,0,0,0,0,1
Lompoc Valley Medical Center,CA,Santa Barbara,2017,26,0,0,11,11,0,1,0,0,0,3,0
Long Beach Memorial Medical Center,CA,Los Angeles,2013,383,1,18,221,67,1,2,36,1,16,17,3
Long Beach Memorial Medical Center,CA,Los Angeles,2014,409,0,26,239,51,0,4,48,2,14,22,3
Long Beach Memorial Medical Center,CA,Los Angeles,2015,312,0,15,176,54,0,6,25,0,9,22,5
Long Beach Memorial Medical Center,CA,Los Angeles,2016,480,1,27,266,79,3,9,28,1,20,39,7
Long Beach Memorial Medical Center,CA,Los Angeles,2017,443,0,31,227,65,2,7,41,0,19,44,7
Los Alamitos Medical Center,CA,Orange,2013,160,1,3,99,19,0,2,9,0,18,8,1
Los Alamitos Medical Center,CA,Orange,2014,175,0,8,109,18,0,1,3,1,26,5,4
Los Alamitos Medical Center,CA,Orange,2015,161,0,9,96,20,0,2,4,1,24,4,1
Los Alamitos Medical Center,CA,Orange,2016,239,4,11,139,22,0,3,1,2,41,13,3
Los Alamitos Medical Center,CA,Orange,2017,262,1,10,162,24,0,2,5,0,52,5,1
Los Angeles Community Hospital,CA,Los Angeles,2013,3,0,0,1,2,0,0,0,0,0,0,0
Los Angeles Community Hospital,CA,Los Angeles,2014,12,1,0,3,7,0,0,0,0,0,1,0
Los Angeles Community Hospital,CA,Los Angeles,2015,6,0,0,1,3,0,0,2,0,0,0,0
Los Angeles Community Hospital,CA,Los Angeles,2016,13,1,0,1,5,0,0,0,0,2,3,1
Los Angeles Community Hospital,CA,Los Angeles,2017,15,0,0,1,4,0,0,0,0,6,4,0
Los Angeles County/Harbor – UCLA Medical Center,CA,Los Angeles,2013,249,6,24,116,30,1,6,6,3,23,18,16
Los Angeles County/Harbor – UCLA Medical Center,CA,Los Angeles,2014,233,3,14,109,42,1,2,8,5,25,18,6
Los Angeles County/Harbor – UCLA Medical Center,CA,Los Angeles,2015,133,1,19,61,11,0,2,7,4,11,12,5
Los Angeles County/Harbor – UCLA Medical Center,CA,Los Angeles,2016,198,0,18,89,29,1,4,1,8,22,23,3
Los Angeles County/Harbor – UCLA Medical Center,CA,Los Angeles,2017,210,0,14,107,37,0,6,3,4,13,18,8
Los Angeles County/Olive View – UCLA Medical Center,CA,Los Angeles,2013,207,12,0,111,35,1,4,5,2,15,12,10
Los Angeles County/Olive View – UCLA Medical Center,CA,Los Angeles,2014,198,3,0,104,36,2,6,4,2,10,14,17
Los Angeles County/Olive View – UCLA Medical Center,CA,Los Angeles,2015,134,1,0,81,15,0,10,3,1,10,7,6
Los Angeles County/Olive View – UCLA Medical Center,CA,Los Angeles,2016,139,4,0,81,16,1,1,4,3,8,14,7
Los Angeles County/Olive View – UCLA Medical Center,CA,Los Angeles,2017,156,4,0,96,15,3,4,4,1,5,17,7
Los Angeles County/Rancho Los Amigos National Rehabilitation Center,CA,Los Angeles,2016,1,0,1,0,0,0,0,0,0,0,0,0
Los Angeles County/University of Southern California Medical Center,CA,Los Angeles,2013,361,13,63,142,48,2,19,8,15,12,25,14
Los Angeles County/University of Southern California Medical Center,CA,Los Angeles,2014,324,10,33,131,45,2,18,9,8,28,21,19
Los Angeles County/University of Southern California Medical Center,CA,Los Angeles,2015,226,2,25,105,37,0,9,4,9,19,7,9
Los Angeles County/University of Southern California Medical Center,CA,Los Angeles,2016,305,12,47,126,36,0,12,11,7,18,31,5
Los Angeles County/University of Southern California Medical Center,CA,Los Angeles,2017,304,5,39,119,40,2,9,9,12,29,27,13
